IUCN_species,centroid_long,Latitude,abs_lat,region,clutch_size,Egg mass (g),incubation_d,body_mass,Beak_Length (culmen),HWI
Thryorchilus browni,-83.34607187,9.4,9.4,tropical,2,1.83,NA,14,14.7,10.2
Zentrygon chiriquensis,-83.19324721,9.41,9.41,tropical,2,13.66,NA,308,24.8,21.4
Chiroxiphia lanceolata,-71.35848544,9.43,9.43,tropical,2,2.54,18,18.5,12.2,11.1
Selasphorus scintilla,-83.45344366,9.43,9.43,tropical,2,0.42,23,2.2,14.1,68.5
Turdus nigrescens,-83.3941848,9.46,9.46,tropical,2,7.5,NA,96,24,25.1
Empidonax atriceps,-83.41897484,9.47,9.47,tropical,2,1.49,NA,9,12.3,22.6
Vireo carmioli,-83.41544428,9.47,9.47,tropical,2,1.97,NA,13.1,12.4,19.6
Thripadectes rufobrunneus,-83.18654021,9.48,9.48,tropical,2,6.97,NA,56.2,25.2,12.7
Amazilia boucardi,-84.39941969,9.5,9.5,tropical,2,0.58,NA,4.5,22.1,61.6
Dendropicos obsoletus,13.61959012,9.5,9.5,tropical,2,2.33,NA,21.4,16.5,23.3
Muscicapa gambagae,23.17426817,9.5,9.5,tropical,2,1.46,NA,13,12.6,20.8
Oreothlypis gutturalis,-83.42372359,9.5,9.5,tropical,2,1.525,16,9.5,13.6,22.9
Tangara dowii,-83.26684679,9.5,9.5,tropical,2,2.49,NA,20,11.6,21.1
Bucorvus abyssinicus,13.93180803,9.51,9.51,tropical,2,95.3,39,4000,256.5,20.6
Ptiliogonys caudatus,-83.44386941,9.52,9.52,tropical,2,3.51,16.5,36.2,15,22.3
Junco vulcani,-83.5070317,9.53,9.53,tropical,2,3.05,NA,28,14.7,15.4
Pheucticus tibialis,-83.21135699,9.53,9.53,tropical,2,5.87,NA,62.3,21.8,22.8
Heliothryx barroti,-81.7222511,9.57,9.57,tropical,2,0.9,16.5,5.5,21.9,68
Panterpe insignis,-83.55361843,9.58,9.58,tropical,2,0.71,NA,5.7,22.1,62.2
Xiphorhynchus susurrans,-76.10571631,9.59,9.59,tropical,2,5.8,18,46.7,36,17.8
Corapipo leucorrhoa,-79.4093869,9.6,9.6,tropical,2,1.86,NA,11.7,9.8,18.8
Sylvietta brachyura,12.27493025,9.67,9.67,tropical,2,1.15,NA,8.1,12.2,12.1
Amblycercus holosericeus,-84.39367679,9.78,9.78,tropical,2,4.83,13.5,70.4,30.4,10.6
Plocepasser superciliosus,16.59503512,9.83,9.83,tropical,2,2.63,NA,37.1,17.9,17.2
Laniarius turatii,-13.03332264,9.89,9.89,tropical,2,3.835,NA,45.9,25.7,8.1
Columba albitorques,38.62816962,9.94,9.94,tropical,2,11.5,NA,277,21,43.7
Gymnocichla nudiceps,-78.92332499,10.03,10.03,tropical,2,4.34,NA,30.5,20.5,8.6
Caprimulgus climacurus,11.27097253,10.09,10.09,tropical,2,4.6,NA,45.8,16.1,49.2
Burhinus senegalensis,16.55125685,10.25,10.25,tropical,2,32.9,NA,326,45.8,43.5
Campylopterus ensipennis,-63.51071513,10.26,10.26,tropical,2,1.09,NA,9.6,29.5,61.7
Scytalopus caracae,-66.48985002,10.33,10.33,tropical,2,3.55,NA,24,13.9,12.9
Elvira cupreiceps,-84.46960881,10.39,10.39,tropical,2,0.43,NA,3,16.9,65.7
Eremomela pusilla,0.068643984,10.39,10.39,tropical,2,0.84,NA,6.2,11.7,13.3
Streptopelia hypopyrrha,-0.135412943,10.45,10.45,tropical,2,8.31,NA,162,20,35.6
Anthoscopus parvulus,5.720296708,10.48,10.48,tropical,2,0.86,NA,5.8,9,15.3
Streptopelia vinacea,12.21084547,10.58,10.58,tropical,2,5,NA,110,16.5,34.6
Phaethornis striigularis,-82.3554235,10.6,10.6,tropical,2,0.3,15.5,3,24.3,66.2
Pogonornis dubius,1.175186424,10.6,10.6,tropical,2,6.33,NA,91,32.8,18
Chlorostilbon russatus,-73.35107933,10.62,10.62,tropical,2,0.46,15.5,3.4,17.8,65.3
Amazilia tzacatl,-81.80312277,10.7,10.7,tropical,2,0.59,15.65,4.8,21.9,61.7
Myioborus flavivertex,-73.62798078,10.76,10.76,tropical,2,2.39,NA,18,12.1,18.4
Pipile pipile,-61.1587462,10.76,10.76,tropical,2,107,NA,1816.6,37.6,18.7
Scytalopus latebricola,-73.64739073,10.77,10.77,tropical,2,3.52,NA,20,14.8,9.6
Icthyophaga ichthyaetus,102.1912987,10.81,10.81,tropical,2,NA,29,1590,66.1,29
Leucippus fallax,-70.30457717,10.85,10.85,tropical,2,0.74,NA,6,22.6,61.5
Scytalopus sanctaemartae,-73.70924903,10.86,10.86,tropical,2,3.74,NA,18.1,14.1,8.8
Tangara larvata,-83.37830813,11.1,11.1,tropical,2,2.58,14,20,12.1,21.4
Cyornis concretus,105.0439453,11.13,11.13,tropical,2,4.42,NA,24.5,18.7,19.2
Cyanoloxia cyanoides,-81.14015018,11.17,11.17,tropical,2,3.47,13.5,32.5,19.6,13.8
Poliocrania exsul,-82.84376442,11.2,11.2,tropical,2,3.43,14,26.5,21.1,7.3
Habia carmioli,-82.84536606,11.23,11.23,tropical,2,3.94,NA,37.6,23,17.5
Turtur abyssinicus,13.19081646,11.41,11.41,tropical,2,3.2,15,62.7,16.4,30.9
Thamnistes anabatinus,-84.61619837,11.52,11.52,tropical,2,3.16,NA,20.7,23.3,16.2
Chalcophaps indica,104.1112628,11.66,11.66,tropical,2,6.3,14,136.5,20.9,28.7
Batis senegalensis,0.016548746,11.71,11.71,tropical,2,1.15,15,9.6,14.8,14.1
Leptotila cassinii,-83.01753669,11.76,11.76,tropical,2,8.28,NA,159,17.9,24
Anabacerthia variegaticeps,-87.47639445,11.78,11.78,tropical,2,4.24,NA,27.8,17.1,18.4
Sclerurus guatemalensis,-84.01027692,11.85,11.85,tropical,2,4.94,21,34.7,21.8,17.2
Ortyxelos meiffrenii,17.32395574,11.96,11.96,tropical,2,2,NA,17.6,10.4,25.4
Phaethornis longirostris,-82.5487481,12,12,tropical,2,0.85,17.5,6,41.8,63.1
Laniarius barbarus,-0.270751253,12.03,12.03,tropical,2,3.66,NA,47.1,26.1,9.6
Myiobius sulphureipygius,-84.75293604,12.24,12.24,tropical,2,1.76,22,11.6,14.4,16.4
Pachysylvia decurtata,-85.9894907,12.53,12.53,tropical,2,1.66,16,8.5,14.4,12.7
Lanio leucothorax,-84.27162794,12.54,12.54,tropical,2,4.07,NA,40,22.5,19
Campylopterus cuvierii,-83.64114763,12.57,12.57,tropical,2,1.02,17.5,8.9,24.2,62.9
Cyanerpes lucidus,-84.58157252,12.7,12.7,tropical,2,1.65,12.5,11.4,21.9,24.3
Apus berliozi,50.54564826,12.76,12.76,tropical,2,3.44,NA,38.2,10.8,70
Dysithamnus striaticeps,-84.44597123,12.92,12.92,tropical,2,1.99,14,12,16.8,16.7
Ceratopipra mentalis,-86.21436233,12.96,12.96,tropical,2,1.785,NA,15,12.1,16.5
Chiroxiphia linearis,-87.9630664,13.02,13.02,tropical,2,2.49,NA,17.4,11.7,9.6
Hylocharis eliciae,-86.19576631,13.09,13.09,tropical,2,0.49,NA,3.6,18.3,64.5
Caprimulgus inornatus,20.38391425,13.11,13.11,tropical,2,5.7,NA,50.3,18.4,48.8
Onychorhynchus mexicanus,-83.19274916,13.17,13.17,tropical,2,2.06,22,19,22.1,19.9
Gallicolumba platenae,121.1319119,13.21,13.21,tropical,2,9.81,NA,196,19.9,27.6
Ficedula westermanni,104.9718001,13.42,13.42,tropical,2,1.29,NA,7.8,11.2,22
Spilopelia senegalensis,37.36515893,13.86,13.86,tropical,2,6.6,14.25,82.1,17.8,34.2
Accipiter trivirgatus,101.7074345,13.91,13.91,tropical,2,31.6,NA,265,31.7,23
Crax rubra,-87.76140587,14.01,14.01,tropical,2,218,32.5,4133,53.5,9.3
Campylopterus rufus,-90.70595587,14.6,14.6,tropical,2,0.89,15.5,7.1,29,62.8
Caprimulgus eximius,12.84335229,14.6,14.6,tropical,2,6.8,NA,66.3,18.6,45.3
Phaenicophaeus viridirostris,78.72821152,14.67,14.67,tropical,2,8.72,NA,67,31.5,15.4
Pharomachrus mocinno,-88.89989809,14.75,14.75,tropical,2,16.6,17.75,202.5,26.2,38.5
Sporophila corvina,-87.88169749,14.75,14.75,tropical,2,1.55,12,10.6,10.7,17.8
Ramphastos sulfuratus,-86.16740974,14.77,14.77,tropical,2,17.5,16.5,409.7,129.2,14.8
Rhinoptilus bitorquatus,78.38302547,14.86,14.86,tropical,2,15.52,NA,121.4,20.1,35.4
Amazilia luciae,-87.18675814,15.19,15.19,tropical,2,0.61,NA,4.8,23,64.9
Abeillia abeillei,-89.79212346,15.29,15.29,tropical,2,0.38,NA,2.7,13,66.3
Manacus candei,-88.5341105,15.48,15.48,tropical,2,2.26,18.5,19.8,12.7,17.2
Zimmerius vilissimus,-90.87706778,15.5,15.5,tropical,2,1.62,16,9.7,10.1,15.1
Anthracothorax prevostii,-88.31651867,15.65,15.65,tropical,2,0.87,16.5,6.4,28.9,66.3
Xiphorhynchus erythropygius,-90.26227017,15.67,15.67,tropical,2,6.05,NA,46.8,34.8,22
Orthorhyncus cristatus,-62.01578744,15.7,15.7,tropical,2,0.42,16.25,3,15.7,64.7
Streptopelia roseogrisea,15.76415641,15.74,15.74,tropical,2,8.24,13.875,155,19.4,39.2
Rhipidura cyaniceps,121.5480714,15.77,15.77,tropical,2,1.91,NA,13.6,14.6,18.4
Buceros bicornis,98.02114331,15.78,15.78,tropical,2,77,35,2790.8,355.5,25.7
Kittacincla luzoniensis,121.5412636,15.8,15.8,tropical,2,2.82,NA,24,17,11.5
Oncostoma cinereigulare,-88.82035348,15.85,15.85,tropical,2,1.26,NA,6.4,13.8,11.6
Otus megalotis,121.4653153,15.88,15.88,tropical,2,17.59,NA,178.4,24.6,21.3
Eulampis holosericeus,-62.29750975,15.89,15.89,tropical,2,0.73,18,5.7,25.4,66
Gallicolumba luzonica,121.4663765,15.91,15.91,tropical,2,9.81,NA,196,20.7,27.4
Lamprolaima rhami,-92.43645626,16.04,16.04,tropical,2,0.94,NA,7.8,21.1,61
Platyrinchus cancrominus,-89.11528519,16.08,16.08,tropical,2,1.51,NA,9.2,13.7,14.1
Eupherusa cyanophrys,-96.95033798,16.15,16.15,tropical,2,0.61,NA,4.8,21.6,63.9
Psarocolius montezuma,-90.15816598,16.2,16.2,tropical,2,13.5,17.5,309.9,68.8,23.9
Psilopogon faiostrictus,104.6470979,16.24,16.24,tropical,2,6.38,NA,93,27.4,18.8
Amazilia cyanocephala,-91.29579122,16.4,16.4,tropical,2,0.66,NA,5.1,22.8,63.9
Catharus mexicanus,-91.2127734,16.5,16.5,tropical,2,3.87,NA,33,16.4,21.1
Dendrocincla anabatina,-89.21974327,16.57,16.57,tropical,2,4.91,20.5,34.2,24.8,20.1
Catharus frantzii,-94.34667731,16.64,16.64,tropical,2,3.5,15,28.9,17.1,17.8
Amazilia viridifrons,-95.94764012,16.65,16.65,tropical,2,0.72,NA,6.3,25.1,65.6
Morococcyx erythropygus,-95.85394777,16.81,16.81,tropical,2,8.6,NA,64.5,25.2,8.3
Chlorostilbon canivetii,-90.58224582,16.98,16.98,tropical,2,0.31,13,2.6,15.4,67.2
Pycnonotus luteolus,78.87513625,17.13,17.13,tropical,2,3.51,11,34.7,17.9,11.2
Amazilia rutila,-94.11312931,17.18,17.18,tropical,2,0.62,NA,5.2,24.5,62.8
Diglossa baritula,-95.68903595,17.19,17.19,tropical,2,1.46,14,9.2,12.2,21.1
Campephilus guatemalensis,-92.56931404,17.23,17.23,tropical,2,11.04,NA,242,47.7,21
Amazilia candida,-90.33670745,17.27,17.27,tropical,2,0.5,NA,3.8,18.7,62.1
Catharus aurantiirostris,-93.71983659,17.31,17.31,tropical,2,4,14.5,29.8,16.9,16.4
Neotis nuba,7.8853618,17.41,17.41,tropical,2,126.9,NA,5440,55.1,44.9
Turdus menachensis,42.93451402,17.48,17.48,tropical,2,6.47,NA,75.4,26,19
Calothorax pulcher,-98.00407747,17.53,17.53,tropical,2,0.37,15.5,2.7,21.4,62.1
Formicarius moniliger,-90.73769678,17.53,17.53,tropical,2,6.8,20,61.9,22.7,12.4
Cynanthus sordidus,-98.54886995,17.61,17.61,tropical,2,0.51,NA,4,23.4,65.8
Lampornis amethystinus,-96.19612774,17.74,17.74,tropical,2,0.66,NA,5.2,24.6,64.3
Trochilus scitulus,-76.41757264,18.06,18.06,tropical,2,0.56,18.5,4,23.2,65.7
Anthracothorax mango,-77.31063798,18.16,18.16,tropical,2,0.96,NA,8.3,28.6,64.9
Elaenia fallax,-77.37149931,18.16,18.16,tropical,2,2.03,NA,14.4,11,19.6
Geotrygon versicolor,-77.31063798,18.16,18.16,tropical,2,10.91,NA,225,24.7,29.3
Trochilus polytmus,-77.38019222,18.16,18.16,tropical,2,0.56,18,4.8,22.4,64
Anthracothorax viridis,-66.47586937,18.23,18.23,tropical,2,0.81,NA,6.6,26.2,66.5
Chlorostilbon maugaeus,-66.47586937,18.23,18.23,tropical,2,0.49,15,3.1,17.4,63.8
Mitrephanes phaeocercus,-96.92159982,18.48,18.48,tropical,2,1.44,NA,8.6,12.1,25.3
Myadestes genibarbis,-71.69319658,18.68,18.68,tropical,2,3.63,NA,29.2,14.2,23.9
Microligea palustris,-71.41610438,18.75,18.75,tropical,2,1.86,NA,13.2,14.6,12.8
Mellisuga minima,-72.04818908,18.81,18.81,tropical,2,0.3575,12,2.4,11.2,64.3
Anthracothorax dominicus,-71.28166168,18.91,18.91,tropical,2,0.73,NA,5.8,27.9,64.5
Chlorostilbon swainsonii,-71.26233948,18.91,18.91,tropical,2,0.53,15.5,4.3,20.1,65.7
Toxostoma ocellatum,-98.37891888,18.92,18.92,tropical,2,6.28,NA,84.3,37.4,7.5
Buteo ridgwayi,-69.57420009,19.07,19.07,tropical,2,61.5,28.5,315,26.5,33.4
VireoNAnus,-71.52261814,19.09,19.09,tropical,2,1.78,NA,10.5,12.5,12.8
Temnurus temnurus,106.2615398,19.1,19.1,tropical,2,8.57,NA,61,30.2,12.7
Melanoptila glabrirostris,-89.3668713,19.19,19.19,tropical,2,3.69,NA,35.4,20.9,15.9
Vireo magister,-87.37163801,19.32,19.32,tropical,2,2.16,NA,15.4,19.6,19.6
Leptotila jamaicensis,-87.44914014,19.35,19.35,tropical,2,8.58,NA,165,21.8,30.9
Chlorostilbon auriceps,-102.2150874,19.6,19.6,tropical,2,0.31,13,2.6,16.2,68.6
Amazilia beryllina,-99.93635587,19.81,19.81,tropical,2,0.6,NA,4.5,21.3,60.8
Loxioides bailleui,-155.4753043,19.81,19.81,tropical,2,4,16.3,37.8,14.3,20.2
Antrostomus badius,-88.89307148,19.98,19.98,tropical,2,6.75,NA,59.8,25.6,45.4
Spinus notatus,-98.88010149,20.01,20.01,tropical,2,1.25,NA,10.9,13.1,30.9
Coracina javensis,101.7600171,20.34,20.34,tropical,2,8.6,21.5,94.5,30.6,31.6
Amazilia yucatanensis,-93.59306608,20.35,20.35,tropical,2,0.55,NA,3.9,23.7,62.5
Zenaida aurita,-75.47614283,20.41,20.41,tropical,2,9.1,14,156,22.1,33.6
Chlorostilbon forficatus,-86.90510277,20.44,20.44,tropical,2,0.31,13,2.6,16.8,70.3
Geotrygon chrysia,-75.55120525,20.67,20.67,tropical,2,8.58,NA,169,23.9,32.3
Ptiliogonys cinereus,-100.8676725,20.78,20.78,tropical,2,3.32,16.5,33.6,14.8,23.9
Doricha eliza,-90.54215467,20.9,20.9,tropical,2,0.55,15,2.5,23.1,63.6
Melanotis caerulescens,-102.0079211,20.9,20.9,tropical,2,5.19,NA,61.6,27.9,13.7
Arremon virenticeps,-103.0442365,21.03,21.03,tropical,2,4.34,15,41,17.8,11
Tachymarptis melba,40.29124756,21.34,21.34,tropical,2,6.2,19.875,100.4,12.7,72.5
Streptoprocne semicollaris,-102.7238094,21.39,21.39,tropical,2,12.5,NA,175,16.5,69.5
Clanga hastata,81.09882786,21.43,21.43,tropical,2,87.5,40.675,1359.4,44.4,42
Polyplectron bicalcaratum,98.51131856,21.44,21.44,tropical,2,33.5,NA,467.8,23.6,19.6
Mellisuga helenae,-79.00904212,21.61,21.61,tropical,2,0.25,20,2.2,12.2,62.9
Chlorostilbon ricordii,-78.94124096,21.85,21.85,tropical,2,0.58,15.5,3.2,19.5,68.3
Amazona finschi,-104.9448755,22.34,22.34,tropical,2,14.8,NA,302,35.4,36.5
Ferminia cerverai,-81.3155863,22.39,22.39,tropical,2,2.82,NA,26.9,17.2,6.8
Eugenes fulgens,-101.9993663,22.91,22.91,tropical,2,0.85,NA,8,33.9,65.3
Antrostomus ridgwayi,-103.5917299,22.92,22.92,tropical,2,4.3,NA,48,20.5,46.9
Nyctiphrynus mcleodii,-104.977648,23.15,23.15,tropical,2,4.53,NA,35,16.7,41
Setophaga pityophila,-79.47132437,23.21,23.21,tropical,2,1.25,NA,8,12.6,24.2
Treron apicauda,98.00343778,23.37,23.37,tropical,2,9.2,NA,217.2,21,35.3
Antrostomus salvini,-98.73538156,23.56,23.56,others,2,6.42,NA,56,22,44.6
Treron formosae,120.9839719,23.68,23.68,others,2,7.57,NA,140,22,35.8
Amazilia violiceps,-105.1925248,23.83,23.83,others,2,0.65,NA,5.1,25.9,61.5
Mimus gundlachii,-76.56750559,23.87,23.87,others,2,5.57,NA,66.8,25.4,22.3
Cynanthus latirostris,-104.6109444,23.96,23.96,others,2,0.5,17,3.1,21.1,64
Lampornis clemenciae,-104.0210315,24.24,24.24,others,2,1.235,17.125,7.6,28.4,66.2
Calothorax lucifer,-104.2312685,25.07,25.07,others,2,0.66,15,3.3,23.5,63
Geothlypis rostrata,-77.70282459,25.07,25.07,others,2,2.21,NA,16.1,17.3,14
Zenaida asiatica,-100.881704,25.56,25.56,others,2,7.8,13.625,153,24,35.2
Cettia castaneocoronata,98.19974682,25.85,25.85,others,2,1.36,NA,8.9,11.3,13.8
Pyrrhula nipalensis,103.2288159,25.95,25.95,others,2,2.44,NA,24.6,13.7,21.1
Streptopelia tranquebarica,97.92601626,26.15,26.15,others,2,5.8,NA,103,15.7,39.6
Columbina inca,-102.1485401,26.18,26.18,others,2,3.4,14,47.5,16.1,26
Rhynchopsitta pachyrhyncha,-106.9552656,26.45,26.45,others,2,20,26,324.8,43.4,47.3
Neophron percnopterus,47.47659043,27.02,27.02,others,2,94,42,2082,61.7,48
Bubo ascalaphus,6.512026497,27.62,27.62,others,2,71.15,34.25,2100,39.8,34.5
Treron sieboldii,116.7792368,28.01,28.01,others,2,11.64,NA,245,22.7,37.6
Fringilla teydea,-16.61370239,28.26,28.26,others,2,3.37,NA,30.3,20.2,22.6
Grammatoptila striata,88.62241425,28.36,28.36,others,2,9.1,NA,92,28.7,9.9
Oriolus chinensis,115.5141003,28.53,28.53,others,2,8.3,NA,82.6,35.8,29.1
Apus unicolor,-15.80064871,28.79,28.79,others,2,2.38,NA,22.5,9.6,71.7
Garrulax ocellatus,101.1022917,29.86,29.86,others,2,NA,NA,114,30.1,9.6
Cursorius cursor,35.76791334,30.88,30.88,others,2,13.7,18.5,138,27.1,46.4
Calypte costae,-113.6285512,31.8,31.8,others,2,0.46,15.75,3.1,19.2,65.7
Grandala coelicolor,94.75071089,31.87,31.87,others,2,4.73,NA,45.6,19.3,42.9
Selasphorus platycercus,-107.3167673,32.39,32.39,others,2,0.56,16.875,3.5,21.1,65.2
Grus nigricollis,89.59015148,33.39,33.39,others,2,217.7,46.5,6000,124.4,40.6
Columba livia,51.08089219,33.52,33.52,others,2,17.6,17.125,354.2,23.2,45.1
Ictinia mississippiensis,-92.91206706,33.57,33.57,others,2,27,30.5,276,23,53.6
Columba leuconota,89.40295552,33.65,33.65,others,2,17.3,NA,284,22.1,44.5
Antrostomus carolinensis,-88.60172101,33.91,33.91,others,2,12.8,20,109,15.2,51.5
Synthliboramphus wumizusume,134.7560019,34.63,34.63,others,2,40.5,33.5,198,23.4,49.5
Strix occidentalis,-112.7418568,35.47,35.47,others,2,47,30,586.4,36.9,33
Empidonax virescens,-87.99269752,36.73,36.73,others,2,1.86,13.75,12.6,13.3,27.5
Archilochus alexandri,-111.1169979,36.81,36.81,others,2,0.48,15.5,3.4,21.6,64.4
Phalaenoptilus nuttallii,-109.4444805,37.31,37.31,others,2,5.45,20.25,48.3,13.9,42.8
Calypte anna,-118.563865,37.61,37.61,others,2,0.56,16.375,4.2,20.6,65.6
Selasphorus sasin,-122.2793424,37.98,37.98,others,2,0.52,18.25,3.4,20.2,63.4
Zenaida macroura,-99.31555392,39.64,39.64,others,2,6.455,14.2,118.9,19.6,36.6
Burhinus oedicnemus,45.21649651,40.04,40.04,others,2,40.5,25,459,43.1,47.7
Streptopelia decaocto,54.00594621,40.2,40.2,others,2,9.4,15,149,20.9,35.4
Columba eversmanni,73.28356097,41.22,41.22,others,2,15,NA,202,18.9,47.2
Archilochus colubris,-87.71505568,41.87,41.87,others,2,0.52,13.75,3.1,20.7,65
Hieraaetus pennatus,55.16686572,42.1,42.1,others,2,60.3,38.125,823.8,33.8,42
Streptopelia orientalis,102.0860015,43.17,43.17,others,2,10,17.75,232.9,21.9,32.8
Columba rupestris,101.9048253,44.45,44.45,others,2,11.49,NA,245.4,20.2,48.6
Streptopelia turtur,42.42494018,45.44,45.44,others,2,8.2,13.5,132,22.4,43.5
Selasphorus calliope,-117.2399871,45.51,45.51,others,2,0.46,15.25,2.6,17.8,64.3
Grus japonensis,128.1359585,48.03,48.03,others,2,225.3,31.625,8786,161,41.1
Antigone vipio,121.4995401,48.27,48.27,others,2,188.2,30.5,4663,152.2,42.5
Apus apus,57.95146975,48.52,48.52,others,2,3.575,20.15,37.6,10.2,71.5
Larus ichthyaetus,67.41316864,48.59,48.59,others,2,112,NA,1378.8,73,54.7
Milvus milvus,10.52107478,48.65,48.65,others,2,62.5,31.5,1071.8,40.2,49.9
Pelecanus crispus,72.79335246,49,49,others,2,185,30.75,9512.1,414,43.3
Pelecanus erythrorhynchos,-106.7549696,49.58,49.58,others,2,150,32.75,5608.5,319.8,44.9
Clanga pomarina,26.84699665,49.67,49.67,others,2,87.5,41.7125,1359.4,47.3,40.6
Columba palumbus,32.15353178,50.34,50.34,others,2,18.5,16.75,490,27.8,41.2
Sterna hirundo,63.43853006,50.38,50.38,others,2,21,22.125,129.2,44.5,67.3
Aquila chrysaetos,38.05159818,50.67,50.67,others,2,142,43.6,4248,56.8,36.7
Columba oenas,35.32336257,50.84,50.84,others,2,16.7,17,290.8,23.2,42.5
Selasphorus rufus,-123.615905,51.14,51.14,others,2,0.5,16,3.5,20.4,67
Limnodromus semipalmatus,97.12286207,52.31,52.31,others,2,28,NA,212,86.5,52.4
Grus americana,-107.6649448,53.37,53.37,others,2,209,32.125,5826,148.8,42.7
Pernis apivorus,38.94570667,54.03,54.03,others,2,49,32.5,754.4,34.8,37.9
Haliaeetus leucocephalus,-113.8628114,54.57,54.57,others,2,117,35,4700.6,76,41.4
Grus monacha,123.2404831,54.86,54.86,others,2,154.5,28.5,3729.9,105.3,43.5
Clanga clanga,73.96832227,55.15,55.15,others,2,110,42.5,2154.3,50.2,37.9
Grus grus,74.47121219,56.97,56.97,others,2,197.5,29.75,5500,108.1,43
Antigone canadensis,-103.9579971,60.34,60.34,others,2,161.2,29.6,4296.2,122.9,43.8
Catharacta skua,0.746075591,65.93,65.93,others,2,98.35,29,1338.2,54.4,53.3
Stercorarius longicaudus,-33.46109468,69.42,69.42,others,2,41,23.55,287.9,32.9,60.2
Gavia adamsii,20.12709145,69.55,69.55,others,2,160,27.5,4944.3,104.8,51
Leucogeranus leucogeranus,143.5997078,69.84,69.84,others,2,197,29,5913.4,194.5,44.2
Coenocorypha aucklandica,167.0215352,-51.01,51.01,others,2.0026666,23.5,22,108.2,60.3,33.1
Rissa tridactyla,-52.28149527,59.56,59.56,others,2.0033335,51.8,27.225,416,44.5,59.4
Phalacrocorax neglectus,17.13007593,-30.12,30.12,others,2.005,47,29.6,1944.2,67.4,34.8
Phylidonyris niger,137.9416585,-28.98,28.98,others,2.015,2.3,14.25,18.2,24,20.4
Petroica traversi,-176.2330454,-44.31,44.31,others,2.025,2.99,18,23.5,14.5,24.6
Ramphocelus passerinii,-86.90057515,14.63,14.63,tropical,2.025,3.65,11.9,32,18.3,12.6
Coenocorypha pusilla,-176.2189567,-44.3,44.3,others,2.045,22.9,19,80.5,45.2,31.1
Spilopelia chinensis,107.8422433,19.96,19.96,tropical,2.045,7.3,14.75,159,19.9,30.3
Ramphocelus costaricensis,-83.25677638,8.93,8.93,tropical,2.05,NA,12.4,31.3,19.1,15
Arremonops conirostris,-71.37934373,7.33,7.33,tropical,2.075,4.14,13.5,35.9,17.8,8.2
Climacteris rufus,122.8538672,-31.94,31.94,others,2.0833335,4.18,17,32.6,19.6,27.5
Saltator coerulescens,-59.51731128,-12.12,12.12,tropical,2.125,5.37,14.25,54.9,22.3,14.5
Habia rubica,-65.1161222,-6.95,6.95,tropical,2.125,3.7,13.25,32.5,18.4,17.3
Xema sabini,80.63695629,72.31,72.31,others,2.18,24,23.75,198,32.1,59.4
Rhipidura fuliginosa,171.4987884,-41.79,41.79,others,2.2,1.35,14.9,7.5,11.8,20
Dacelo novaeguineae,145.7041866,-28.34,28.34,others,2.2,30.4,25,333.8,68.6,29.1
Phalacrocorax varius,140.8015899,-26.35,26.35,others,2.2,45,29,1940.7,75.1,37.8
Rhynchotus rufescens,-52.11240322,-20.65,20.65,tropical,2.2,55,NA,843.5,41.5,19.9
Lybius torquatus,28.66767743,-14.67,14.67,tropical,2.2,4.2,18.5,51.7,23.2,18.8
Cisticola ayresii,26.34323001,-14.04,14.04,tropical,2.2,1.03,12.5,7,10.3,13.9
Quelea quelea,24.7355441,-6.37,6.37,tropical,2.2,1.85,11.75,18.6,14.4,24.2
Ephippiorhynchus senegalensis,23.66781555,-3.28,3.28,tropical,2.2,146,32.5,6158.7,288.1,40.2
Terpsiphone viridis,22.29298623,-2.08,2.08,tropical,2.2,1.9,13.25,13.2,18.2,19.4
Apus nipalensis,106.1819273,16.15,16.15,tropical,2.2,2.42,21.6,29.8,8.9,67.6
Aulacorhynchus prasinus,-91.14450734,16.5,16.5,tropical,2.2,13.83,16,170.6,68.9,12.8
Ammomanes deserti,28.69510293,25.61,25.61,others,2.2,2.565,10.5,23.8,16.3,24.1
Strix butleri,57.68366115,26.29,26.29,others,2.2,20.45,36.5,219,27.6,44
Micrathene whitneyi,-108.0342285,30.03,30.03,others,2.2,7.3,23.25,41,12.9,30
Empidonax difficilis,-123.8528338,49.1,49.1,others,2.2,1.545,14.5,10.7,14.4,21.8
Larus dominicanus,-22.09555531,-37.5,37.5,others,2.2125,87.615,27.5,952.4,64.7,55.6
Threskiornis bernieri,45.73848065,-17.59,17.59,tropical,2.24,62,28.5,1493.2,151.5,34.3
Volatinia jacarina,-61.57765368,-7.41,7.41,tropical,2.25,1.38,9.5,9.9,10.4,14.1
Pionites melanocephalus,-64.30492811,1.31,1.31,tropical,2.25,8.8,27,148.8,29.6,34.8
Caracara cheriway,-79.65894091,12.42,12.42,tropical,2.25,74,32,1078.6,48.3,42.4
Chionis minor,67.76398714,-49.28,49.28,others,2.2608335,43.1,28.85,494,33.5,35.9
Strigops habroptila,170.8888056,-41.55,41.55,others,2.275,36,28.75,1732.1,48.7,19.9
Sterna hirundinacea,-64.87670018,-41.04,41.04,others,2.3,28.33,22,188,49.9,68.4
Phylidonyris pyrrhopterus,146.8966225,-37.11,37.11,others,2.3,2,13.2,16.3,21.3,17.4
Picathartes oreas,11.76636435,1.7,1.7,tropical,2.3,15.9,22.5,220,39.2,5.2
Zapornia atra,-128.3154918,-24.36,24.36,others,2.307692,13,21,77.4,22,24.5
